DATUM,EFF_HOZAM_1_EVES,EFF_HOZAM_3_EVES,ARFOLYAM,ALAP_NEVE,ALAPKEZELO,BEFPOL_SZERINTI_KATEGORIA,ISIN_KOD
2020-07-02 00:00:00,7.46%,-3.03%,0.9520040000000001,Accorde Abacus Alap,Accorde Alapkezelo Zrt,Abszolút hozamú,HU0000716402
2020-07-02 00:00:00,2.55%,,1.060276,Accorde Abszolút Hozamú Kötvény Alapok Alapja  A sorozat A sorozat,Accorde Alapkezelo Zrt,Abszolút hozamú,HU0000719232
2020-07-02 00:00:00,1.77%,,1.032633,Accorde Abszolút Hozamú Kötvény Alapok Alapja  B sorozat B sorozat,Accorde Alapkezelo Zrt,Abszolút hozamú,HU0000719240
2020-07-02 00:00:00,-1.51%,,0.999057,Accorde Cuvée Befektetési Alap A sorozat A sorozat,Accorde Alapkezelo Zrt,Abszolút hozamú,HU0000721774
2020-07-02 00:00:00,-2.21%,,0.988851,Accorde Cuvée Befektetési Alap B sorozat B sorozat,Accorde Alapkezelo Zrt,Abszolút hozamú,HU0000721782
2020-07-02 00:00:00,1.37%,-0.16%,1.027172,Accorde CVK2 Alap A sorozat A sorozat,Accorde Alapkezelo Zrt,Abszolút hozamú,HU0000716519
2020-07-02 00:00:00,0.73%,-0.75%,0.9882259999999999,Accorde CVK2 Alap B sorozat B sorozat,Accorde Alapkezelo Zrt,Abszolút hozamú,HU0000716501
2020-07-02 00:00:00,3.19%,1.89%,1.080843,Accorde CVK2 Alap C sorozat C sorozat,Accorde Alapkezelo Zrt,Abszolút hozamú,HU0000717145
2020-07-02 00:00:00,-2.64%,-1.28%,0.998257,Accorde CVK3 Alap A sorozat A sorozat,Accorde Alapkezelo Zrt,Abszolút hozamú,HU0000716527
2020-07-02 00:00:00,-2.97%,-1.78%,0.96481,Accorde CVK3 Alap B sorozat B sorozat,Accorde Alapkezelo Zrt,Abszolút hozamú,HU0000716535
2020-07-02 00:00:00,-0.19%,0.85%,1.047218,Accorde CVK3 Alap C sorozat C sorozat,Accorde Alapkezelo Zrt,Abszolút hozamú,HU0000717152
2020-07-02 00:00:00,6.30%,8.25%,1.2917679999999998,Accorde Elso Román Részvényalap A sorozat A sorozat,Accorde Alapkezelo Zrt,Részvény,HU0000718606
2020-07-02 00:00:00,6.73%,7.92%,1.275682,Accorde Elso Román Részvényalap B sorozat B sorozat,Accorde Alapkezelo Zrt,Részvény,HU0000718614
2020-07-02 00:00:00,7.24%,9.32%,1.3364989999999999,Accorde Elso Román Részvényalap I sorozat I sorozat,Accorde Alapkezelo Zrt,Részvény,HU0000718622
